201501 347430 118.886282762640,30.982900922011 118.681626130170,30.996751761377 184382 131771 52611
201501 337234 118.554010603660,31.271024361905 118.555846919780,31.269591523189 184328 121953 62375
201501 184967 117.278141898000,31.799648079571 117.311649052840,31.802669435963 182766 122916 59850
201501 336342 118.541761130060,31.641423616223 118.545746731950,31.719470971438 182210 144097 38113
201501 163791 117.203807206880,31.525203678271 117.199330860690,31.325193512634 180647 143156 37491
201501 54580 116.339942460660,31.852025448412 116.177784841530,31.854763059601 180278 85279 94999
201501 174147 117.286036655970,31.796729665000 117.251649970210,31.795577173275 180231 163194 17037
201501 314634 118.293588243090,32.124722190756 118.350361151320,32.129467540972 180187 119551 60636
201501 314982 118.350361151320,32.129467540972 118.356050748930,32.126843387139 180149 119524 60625
201501 299068 118.218732983930,31.470818520582 118.217178645900,31.469955073828 180110 139703 40407
201501 185089 117.311263410290,31.805279409850 117.311263769610,31.805649495358 179716 139835 39881
201501 289456 118.283820338470,31.649575781423 118.098962449270,31.658127643236 178535 109844 68691
201501 335655 118.541933604720,31.725308099328 118.542318348970,31.648039039336 178326 136675 41651
201501 210659 117.501634110570,31.875644046293 117.502215853220,31.875906141862 178081 117884 60197
201501 155678 117.139920976640,32.376962062023 117.132963780120,32.411702490216 177723 152731 24992
201501 177233 117.269449534560,31.730990298102 117.270122814540,31.730738689886 176685 129830 46855
201501 128135 117.254881893770,33.018281230896 116.930496408010,33.071165488018 175979 103506 72473
201501 386114 119.400589975590,30.883950758489 119.512168413150,30.900430318580 175946 139322 36624
201501 386646 119.512168413150,30.900430318580 119.551586777570,30.917023736221 175444 139051 36393
201501 177124 117.285800401630,31.761392035764 117.269449534560,31.730990298102 174588 128032 46556
201501 151240 117.118188630760,31.990788295566 117.111928339660,32.064288747530 174386 139620 34766
201501 173389 117.251649700710,31.795576943097 117.251357571760,31.795647147223 173712 136763 36949
201501 199085 117.461465840710,32.417583946748 117.415637078340,32.539347860125 173539 112458 61081
201501 300671 118.249964012270,31.066806320648 118.228483910580,31.058639164901 173003 123557 49446
201501 147459 117.083358810880,30.476063719421 117.090096731020,30.528357475501 172161 124547 47614
201501 211150 117.509561297380,31.883050351701 117.505005900310,31.878336411887 171895 115546 56349
201501 211623 117.507665243940,31.944791060608 117.507774028740,31.945109488357 171734 93935 77799
201501 137347 117.013963003450,31.955711262903 117.010555640820,31.954928113356 171449 90257 81192
201501 307150 118.322618153440,31.625238188102 118.284709121940,31.649259013463 170623 103667 66956
201501 306900 118.284709121940,31.649259013463 118.283820338470,31.649575781423 170357 103507 66850
201501 128997 116.907753288770,33.882789936864 116.943073134300,33.717667131417 170110 82362 87748
201501 183971 117.300003240550,32.734043518019 117.304383468050,32.831508701709 169719 109024 60695
201501 48825 116.177784841530,31.854763059601 116.073047449580,31.836500798450 169213 77204 92009
201501 246552 117.950444162010,30.909965775323 117.793034985800,30.823836215431 168680 122487 46193
201501 66426 116.611845794460,32.645085020355 116.345700778640,32.661506273798 168347 128139 40208
201501 151461 117.112786580740,31.997642611619 117.111983136290,31.993603734222 168145 128553 39592
201501 361041 118.897011584670,30.960067982743 118.893857634020,30.960369061117 168010 118904 49106
201501 303263 118.217178645900,31.469955073828 118.258006002520,31.416646889965 167834 130216 37618
201501 303532 118.258006002520,31.416646889965 118.259558993080,31.414515580602 167389 130034 37355
201501 147184 117.081234318350,30.484346946831 117.089005738980,30.475514290555 165865 110395 55470
201501 314138 118.244268575680,31.062505020123 118.346100578120,31.157769933142 165666 127027 38639
201501 163792 117.203808913660,31.525206833289 117.199332567470,31.325196674455 165641 132675 32966
201501 320051 118.346100578120,31.157769933142 118.394078626250,31.207842314263 163626 125367 38259
201501 277870 117.918009853440,31.650654490341 117.980394296530,31.609691877016 163503 106520 56983
201501 360328 118.893857634020,30.960369061117 118.886282762640,30.982900922011 162995 115136 47859
