timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525692449060410,-6,-80,-80,7,-3,4,1,-3
1525692449060410,-5,-7,-12,-16,-8,-7,-5,-4
1525692449062410,-3,5,-7,2,-1,-5,0,-2
1525692449062410,1,-23,7,-22,2,0,2,-2
1525692449074410,3,41,-25,-5,-1,7,1,2
1525692449074410,3,3,11,-10,-1,-5,-2,1
1525692449083411,-8,-45,-17,-11,-5,-7,-3,-2
1525692449083411,4,35,9,26,5,7,1,-1
1525692449098412,3,17,29,8,4,9,-1,1
1525692449098412,0,-11,-11,8,0,-8,0,2
1525692449100412,-5,-7,-5,0,-7,-12,-3,-3
1525692449100412,-6,0,0,-15,-6,7,0,-6
1525692449121413,17,74,6,13,12,22,4,13
1525692449121413,-7,-112,-1,-9,-2,-6,-2,-10
1525692449122413,-21,63,-56,-21,-15,-9,-8,-12
1525692449122413,5,19,-28,-2,1,-2,-1,0
1525692449134414,-4,7,44,5,1,-9,-1,-2
1525692449134414,13,40,29,10,4,4,4,8
1525692449143414,7,-11,34,18,6,6,1,5
1525692449143414,-5,-28,-56,-8,-1,1,-3,0
1525692449158415,-4,-4,15,-3,-4,-5,-2,-4
1525692449158415,-3,-17,-15,-17,3,-1,-1,-1
1525692449160415,0,-29,10,7,-4,0,-1,-1
1525692449160415,5,64,35,1,-1,-1,1,4
1525692449180416,4,-12,-15,-6,1,2,2,1
1525692449180416,-18,-45,32,-12,-10,-8,-7,-10
1525692449182416,4,11,-29,-5,2,0,-1,0
1525692449182416,14,68,88,19,2,2,2,6
1525692449194417,-17,-108,-48,-3,-3,-4,-3,-7
1525692449194417,-11,-40,-67,4,-5,-41,-5,-4
1525692449203418,1,30,-63,-15,-2,1,1,-3
1525692449203418,2,-29,61,1,1,35,-7,-8
1525692449218419,12,46,1,5,2,30,2,34
1525692449218419,6,59,-1,6,-4,-47,4,-16
1525692449220419,6,8,42,3,4,14,-6,-19
1525692449220419,-12,-106,-88,-15,-3,-18,2,-9
1525692449240420,-1,107,30,-2,-3,9,-1,-13
1525692449240420,4,14,16,5,3,2,-3,14
1525692449242420,4,14,8,10,4,1,5,13
1525692449242420,-5,7,25,5,1,-15,-1,-7
1525692449265421,4,-52,0,-7,-1,-1,-4,-2
1525692449265421,-7,9,-31,-3,-2,16,4,1
1525692449267421,4,-14,29,9,3,-12,1,-3
1525692449267421,11,59,23,1,0,19,1,9
1525692449278422,-29,-72,-31,-12,-3,-25,-2,-10
1525692449278422,0,23,-42,-3,0,13,-4,-1
1525692449280422,2,16,37,3,-3,-6,-1,7
1525692449280422,-2,22,20,0,0,2,-7,-3
1525692449300423,1,-5,-54,-10,-1,5,-1,2
1525692449300423,3,44,0,3,3,20,0,10
1525692449302423,-2,-23,43,1,-5,23,16,2
1525692449302423,-3,33,-22,4,-2,-49,1,-10
1525692449323425,1,26,40,1,1,-12,-3,4
1525692449323425,4,-10,-11,-3,-1,34,-1,-25
1525692449325425,-5,-28,-22,-7,-2,19,-5,14
1525692449325425,-3,16,-6,5,-3,-16,-4,-30
1525692449338425,6,-17,10,8,1,-8,0,-1
1525692449338425,-15,-18,-14,-7,-3,-5,0,7
1525692449340426,7,29,11,3,0,3,-2,-3
1525692449340426,-11,-50,-17,-6,-2,4,-1,4
1525692449360427,-17,32,-28,-6,-4,-5,-3,-3
1525692449360427,21,-5,63,14,5,5,0,1
1525692449363427,-8,19,-47,-7,-4,-15,0,0
1525692449363427,0,-29,-56,-8,-5,-41,-2,3
1525692449383428,9,-12,18,4,4,30,0,-1
1525692449383428,-1,72,31,-2,3,16,2,6
1525692449385428,0,-71,-7,8,4,24,2,2
1525692449385428,10,60,59,11,3,2,9,4
1525692449397429,-22,-65,-22,-24,-14,-9,-7,-26
1525692449397429,-1,97,-37,-4,-3,-20,-2,1
1525692449404429,7,35,35,10,5,-13,-6,-4
1525692449404429,1,1,-38,2,4,40,10,11
1525692449420430,6,11,44,11,2,-25,0,3
1525692449420430,-4,-27,11,-11,-3,0,-5,-2
1525692449422430,-3,-22,-21,6,0,-15,-2,-5
1525692449422430,2,14,19,-3,-1,11,-4,10
1525692449443431,3,2,-9,2,2,-8,0,-3
1525692449443431,-6,-51,-31,-1,-3,-9,-4,0
1525692449445432,1,37,17,-4,0,19,0,2
1525692449445432,-2,-11,-20,-7,-3,7,-3,1
1525692449457432,4,25,0,-3,1,-9,1,15
1525692449457432,-4,-43,28,0,-6,-45,-2,-35
1525692449464433,17,49,-15,7,2,20,0,1
1525692449464433,-30,-35,-15,-12,-6,-1,-9,-2
1525692449480434,9,4,-7,-5,-6,-2,4,4
1525692449480434,8,-14,29,2,3,7,4,24
1525692449482434,4,34,-51,-2,-3,-82,-8,3
1525692449482434,0,-29,-15,-7,1,17,-10,-26
1525692449503435,2,61,15,-1,-3,31,8,15
1525692449503435,2,0,7,7,5,0,3,10
1525692449505435,-13,-61,-2,-1,-1,-5,-1,-13
1525692449505435,6,44,-15,-1,1,-12,2,14
1525692449517436,-3,-12,29,-1,-2,-14,-6,-5
1525692449517436,-1,-20,-12,2,1,14,0,-2
1525692449524436,-6,1,3,-6,-6,-12,-2,3
1525692449524436,4,2,16,6,-1,4,-1,2
1525692449540437,-3,7,-46,-3,4,25,-2,-10
1525692449540437,-1,-3,-9,2,-1,1,-1,2
1525692449542437,-8,-37,5,-5,-3,-12,-4,-6
1525692449542437,3,3,26,-1,-1,7,4,7
